productId,Savings$,Sale_price$,Orig_price$,Item,description,productCategory,customerRating,numReviews,brand,initialQuantity,quantity,standardUpc,imageUrl
4I2AREZL032T,1000.0,5497.99,6497.99,"SAMSUNG 75"" Class the Terrace Outdoor QLED 4K Smart TV with HDR QN75LST7TA","SAMQN75LST7TAQN75LST7TA 75"" The Terrace QLED 4K UHD HDR Smart TvRemote Control BatteryPower CableUser ManualE-ManualIncludes Samsung Authorized USA",Televisions,4.7,75.0,SAMSUNG,38,38,00887276421377,https://i5.walmartimages.com/asr/1b3faf8d-7152-4c36-9bb0-6e5dda120efc.f540924e977e779fc3e7b3003bacd3bc.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
24AK76GXNGH5,49.01,249.99,299.0,Boost Mobile Apple iPhone SE,Brightstar Distrib Boost Iphone Se 2 Black,Cell Phones,3.2,19.0,Apple,783,783,00190199735033,https://i5.walmartimages.com/asr/959387df-c57b-4527-afe0-17bf4676bc73.d52471c5536151f3409c131b7fabe89c.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
5B556MCSRZ68,70.0,329.0,399.0,"HP X360 14"" Pentium Touch 4GB/128GB Chromebook, 14"" HD Touch Display, Intel Pentium Silver N5000, 4GB RAM, 128GB eMMC, Intel UHD Graphics 600, 14b-ca0061wm","Chrome with integrated Intel UHD Graphics 600Intel Pentium Silver N5000 Processor, Quad-Core 1.1 GHz up to 2.7 GHzUp to 12 hours mixed usageMicro-edge bezel touchscreen",Laptop Computers,4.2,634.0,HP,3661,3661,00194850054747,https://i5.walmartimages.com/asr/5e81537c-f54e-4411-8491-8dd233911427.f62656b897a7415f27ce77a4019d6e06.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
4U985US7WXAW,72.0,527.99,599.99,"SAMSUNG 32"" Class The Frame Full HD QLED Smart TV with HDR QN32LS03TBFXZA 2020","32"" QLED 1080p 60Hz Edge Lit The Frame Smart TV 3 HMDI ports Color Volume 100% (Quantum Dot) Quantum 4K Processor with AI Upscaling Art Store 3.0 Ambient Mode Included Accessory: Smart Remote and No",Televisions,4.4,528.0,SAMSUNG,309,309,00887276416175,https://i5.walmartimages.com/asr/ff599c00-321f-4779-92d2-3d632d72b177.0cf2075cc504fa1be7d83778e5c1d5bb.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
1R4JIB8AQ1CD,21.03,26.93,47.96,"onn. Full Motion TV Wall Mount for TVs 47-84"", Dual Swivel Articulating Arms","Supports 47""- 84"" TVsHolds up to 100 lbs (45.5 kg)Mounts to either 16 in or 24 in wall studs",TV & Monitor Mounts,4.7,587.0,onn.,904,904,00681131308458,https://i5.walmartimages.com/asr/96690f6c-f4ce-4cc5-b755-c9c303bd9b9b.5f142094f308dc13e5148bd8d5e40041.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
479BIF4UUWO3,70.99,329.0,399.99,"Acer Spin 513 Qualcomm 4GB/64GB Chromebook, 13.3"" Full HD IPS Multi-Touch Corning Gorilla Glass Display, Qualcomm Snapdragon 7c Compute Platform, 4GB LPDDR4X, 64GB eMMC, CP513-1H-S60F",Acer Spin 513 Qualcomm 4gb/64gb Chrome,Laptop Computers,3.5,4.0,Acer,574,574,00195133096720,https://i5.walmartimages.com/asr/87ca8715-029f-4aa3-a2bf-7fb689a0e168.ee27f523152c236eb565f3a584981ffc.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
2SAA424BCWZT,32.0,147.99,179.99,"Panasonic DP-UB150-K 4K Ultra HD Dolby Atmos Audio DVD/CD/3D Blu-ray Player - supports WAV, WMA, AAC, AIFF, MP3, FLAC, DSF, DSD, ALAC, DFF, MPEG-2, MKV, H.264, AVCHD, HEVC, BDAV, and MP4 formats-Black","Plays 4K Ultra HD movies at 4x the resolution of full 1080p HD, letting you watch your favorite scenes with a level of detail and clarity like never beforeHigh Resolution audio",Blu Ray & DVD Players,4.8,8.0,Panasonic,115,115,00885170420175,https://i5.walmartimages.com/asr/22f1ce37-e228-43a8-bafa-30c6c66bede7.ae4e58604cd18c0bceaa314ef7e5689c.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
5ZPI1I6PUP36,20.0,129.0,149.0,"TP-Link WiFi 6 Mesh Router Replacement System | 2- AX1800 Mesh Routers | Coverage up to 4,000 Sq ft.","Works with any internet service provider, Deco W3600 uses powerful Wi-Fi 6 and TP-Link Mesh technology to blanket your home in strong and reliable WiFi everywhere, up to 4,000 sq ft.",Network Routers,4.4,163.0,TP-Link,537,537,00840030701146,https://i5.walmartimages.com/asr/023ebd2f-c509-4d82-89de-068f3f3c75d8_1.97df89cdf82c78b2fdf1b221916ce639.png?odnHeight=200&odnWidth=200&odnBg=ffffff
306DE13HTAJM,20.99,149.0,169.99,KODAK PIXPRO AZ401 Bridge Digital Camera - 16MP 40X Optical Zoom HD720p video (Red),"16 megapixel resolution24-960mm zoom lens3"" LCD screen",Digital Cameras,4.1,179.0,Kodak,1535,1535,00819900013207,https://i5.walmartimages.com/asr/145d8619-539e-493b-bd1c-fd60a39461e7_3.95789ce506fa9218704ce7b3fcc69ebe.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
7AGZ4Z6EO77S,7.0,62.99,69.99,Seagate 2TB Expansion 3.0 USB Portable External Hard Drive - STEA2000400,"2TB storage capacity lets you take a variety of music, films, presentations and other files with you on the goUSB 3.0 interface is also backwards compatible with USB 2.0 for simple",Hard Drives,4.5,518.0,Seagate,9853,9853,00763649064887,https://i5.walmartimages.com/asr/9ce06bc7-0c3f-4ab7-9a03-1b50af833e6e_1.dc79511c48e363849e3ed9e31480385a.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff
